ProductName,Stars,Rating,CurrentPrice,ImageURL 
MSI NVIDIA RTX 3060 GAMING 12 GB GDDR6,4.9,7,₹44891,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/a/f/4/geforce-rtx-3060-ti-gaming-x-12g-192-bit-l-pci-express-gen-4-original-imag4nyryterka6t.jpeg?q=70
Colorful NVIDIA Mainstream 4 GB DDR3,0,0,₹6399,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/r/t/q/mainstream-colorful-original-imagedphkgwvx9fy.jpeg?q=70
MSI AMD/ATI Radeon RX 6500 XT MECH 2X 4G OC 4 GB GDDR6 ...,4.3,24,₹19880,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/j/m/a/radeon-rx-6500-xt-mech-2x-4g-oc-msi-original-imagb7fhhhyadz9h.jpeg?q=70
ASUS NVIDIA GeForce GT 730 2 GB GDDR5,4.5,118,₹4699,https://rukminim1.flixcart.com/image/612/612/ks99aq80/graphics-card/p/9/g/geforce-gt-730-asus-original-imag5v72yeytvtjn.jpeg?q=70
MSI NVIDIA GeForce GTX 1050 Ti 4GT OCV1 4 GB GDDR5,0,0,₹21189,https://rukminim1.flixcart.com/image/612/612/k687wy80/graphics-card/4/g/j/msi-1050-ti-4gt-ocv1-original-imafhqq2uatgku98.jpeg?q=70
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3,4.1,110,₹6499,https://rukminim1.flixcart.com/image/612/612/jyrl4sw0/graphics-card/d/3/k/galax-geforce-gt-730-4gb-ddr3-original-imafgwgg2m2z8fzq.jpeg?q=70
MSI NVIDIA GeForce RTX 3050 GAMING X 8G 8 GB GDDR6,0,0,₹37837,https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/graphics-card/p/s/d/geforce-rtx-3050-gaming-x-8g-msi-original-imagdefzefxhmkfu.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3060 TWIN X2 12 GB GDDR6,4.3,6,₹48431,https://rukminim1.flixcart.com/image/612/612/l1whaq80/graphics-card/f/m/k/geforce-rtx-3060-twin-x2-inno-3d-original-imagdd66zb6c9gtd.jpeg?q=70
Colorful NVIDIA GTX 1650 NB 4GD6-V GDDR6 6 GB GDDR6,0,0,₹22999,https://rukminim1.flixcart.com/image/612/612/l12h1u80/graphics-card/s/c/t/gtx-1650-nb-4gd6-v-gddr6-colorful-original-imagcpuwervcakxn.jpeg?q=70
MSI NVIDIA RTX 3060 Ti 8 GB GDDR6,0,0,₹70543,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/d/q/0/geforce-rtx-3060-ti-ventus-2x-ocv1-256-bit-l-pci-express-gen-4-original-imag4nyuytsgawk8.jpeg?q=70
GIGABYTE AMD/ATI GV-R66XTEAGLE-8GD 8 GB GDDR6,0,0,₹49347,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/l/m/1/gv-r66xteagle-8gd-gigabyte-original-imagc9y7zb5cjy9x.jpeg?q=70
ASUS NVIDIA GT 730 2GB GDDR5 Low Profile,4.2,6,₹4699,https://rukminim1.flixcart.com/image/612/612/kziqvm80/graphics-card/w/4/5/gt-730-2gb-gddr5-low-profile-graphics-card-gt730-sl-2gd5-brk-e-original-imagbgaydzphjzzw.jpeg?q=70
Inno3D NVIDIA GTX 1050 Ti 4 GB GDDR5,4.4,5,₹19170,https://rukminim1.flixcart.com/image/612/612/jezzukw0/graphics-card/4/7/g/inno3d-gtx-1050-ti-twin-x2-original-imaf3aahmdxhe7yw.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3060 Twin X2 OC 12 GB GDDR6 G...,3.3,3,₹42326,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/d/0/m/geforce-rtx-3060-twin-x2-oc-inno3d-original-imagcbxq9venacjm.jpeg?q=70
ZEBRONICS NVIDIA ZEB-GT610 2 GB DDR3,3.9,28,₹3499,https://rukminim1.flixcart.com/image/612/612/kz5vwy80/graphics-card/e/e/o/zeb-gt610-zebronics-original-imagb8f7rrrnwdsk.jpeg?q=70
ZOTAC NVIDIA GAMING GeForce GTX 1660 SUPER Twin Fan 6 G...,4.7,27,₹29999,https://rukminim1.flixcart.com/image/612/612/kah413k0/graphics-card/z/x/y/zotac-geforce-gtx-1660-super-twin-fan-original-imafsfmgxqr7h2hx.jpeg?q=70
Gamers Choice NVIDIA Geforce GT610-2D3 2 GB DDR3,4,22,₹3199,https://rukminim1.flixcart.com/image/612/612/kzhbfrk0/graphics-card/w/k/p/geforce-gt610-2d3-gamers-choice-original-imagbhfecmafsdwj.jpeg?q=70
Inno3D NVIDIA GeForce GTX1050 TI 4 GB GDDR5,5,3,₹20810,https://rukminim1.flixcart.com/image/612/612/ktn9pjk0/graphics-card/b/1/n/n105t-1ddv-m5cm-nvidia-original-imag6y32jkxnebsp.jpeg?q=70
Colorful NVIDIA Mainstream 4 GB DDR5,0,0,₹18599,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/o/m/c/mainstream-colorful-original-imagedphztj2ssvw.jpeg?q=70
CONSISTENT NVIDIA Geforce GT 610 2 GB DDR3,4.7,3,₹3399,https://rukminim1.flixcart.com/image/612/612/l13whow0/graphics-card/m/w/q/ctg2101gd3-consistent-original-imagcqyptfjctvrb.jpeg?q=70
Microware NVIDIA New PCIE Riser Card VER011 011 Pro GPU...,0,0,₹719,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/n/x/m/riser-card-v011-pro-pci-e-1x-to-16x-riser-card-for-bit-coin-tobo-original-imagb7gx2y7hywzm.jpeg?q=70
MSI AMD/ATI Radeon RX 6600 MECH 2X 8G 8 GB GDDR6,3.3,3,₹35272,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/b/t/e/radeon-rx-6600-mech-2x-8g-msi-original-imagb7fz7v5gecbg.jpeg?q=70
MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 10G OC LHR 1...,0,0,₹81579,https://rukminim1.flixcart.com/image/612/612/l0pm3680/graphics-card/y/q/t/geforce-rtx-3080-ventus-3x-plus-10g-oc-lhr-msi-original-imagcfsj6yzs5zew.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3080 X3 OC LHR 10 GB GDDR6X G...,4.7,3,₹101403,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/e/a/q/geforce-rtx-3080-x3-oc-lhr-inno3d-original-imagcbrm7jnm8hzu.jpeg?q=70
GALAX NVIDIA NVIDIA GEFORCE GT 710 2GB GDDR3,0,0,₹4498,https://rukminim1.flixcart.com/image/612/612/kvr01ow0/graphics-card/d/u/r/nvidia-geforce-gt-710-2gb-gddr3-graphics-card-black-galax-original-imag8ksghr5gmdjf.jpeg?q=70
Gamers Choice NVIDIA Geforce (GC-GT730-4D3) 4 GB DDR3 G...,4,3,₹5999,https://rukminim1.flixcart.com/image/612/612/kzogn0w0/graphics-card/z/u/7/geforce-gc-gt730-4d5-gamers-chioce-original-imagbmraw8pzmktr.jpeg?q=70
ZOTAC NVIDIA RTX 3050 Twin Edge OC 8 GB GDDR6,0,0,₹35000,https://rukminim1.flixcart.com/image/612/612/kz1lle80/graphics-card/n/n/g/rtx-3050-twin-edge-oc-zotac-original-imagb4fz5nrh3z3p.jpeg?q=70
MSI NVIDIA GeForce RTX 3050 VENTUS 2X 8G OC 8 GB GDDR6 ...,0,0,₹50005,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/a/z/0/geforce-rtx-3050-ventus-2x-8g-oc-msi-original-imagb7fzmnht3grc.jpeg?q=70
Colorful NVIDIA iGame Ultra 8 GB GDDR6,0,0,₹38499,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/l/c/m/igame-ultra-colorful-original-imagedpf7nsztmh6.jpeg?q=70
MSI NVIDIA GeForce RTX 3090 GAMING X TRIO 24G 24 GB GDD...,0,0,₹187261,https://rukminim1.flixcart.com/image/612/612/l0pm3680/graphics-card/j/g/5/geforce-rtx-3090-gaming-x-trio-24g-msi-original-imagcfsjbdamqqye.jpeg?q=70
ZEBRONICS NVIDIA GT730 4 GB DDR3,3.7,6,₹8000,https://rukminim1.flixcart.com/image/612/612/kwdv3bk0/graphics-card/d/z/0/gt730-zebronics-original-imag92vdy6exeamu.jpeg?q=70
MSI NVIDIA GeForce GT 730 4GB DDR3 OCV1 GRAPHIC CARD 4 ...,0,0,₹8499,https://rukminim1.flixcart.com/image/612/612/kziqvm80/graphics-card/a/r/d/geforce-gt-730-4gb-ddr3-ocv1-graphic-card-msi-original-imagbgbfaxnkk5g4.jpeg?q=70
MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6,0,0,₹80214,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/s/w/y/geforce-rtx-3070-gaming-z-trio-256-bit-l-pci-express-gen-4-8gb-original-imag4nyxgbjn2jyt.jpeg?q=70
MSI AMD/ATI Radeon RX 6600 ARMOR 8G 8 GB GDDR6,5,3,₹41621,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/j/g/g/radeon-rx-6600-armor-8g-msi-original-imagb7fzzzpgwjav.jpeg?q=70
Colorful NVIDIA Battle AX 4 GB GDDR6,0,0,₹22449,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/o/n/l/battle-ax-colorful-original-imagedphrvgkuyv2.jpeg?q=70
MSI AMD/ATI Radeon RX 6800 XT GAMING Z TRIO 16G 16 GB G...,0,0,₹96196,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/f/7/2/radeon-rx-6800-xt-gaming-z-trio-16g-msi-original-imagb7fzw8myswbz.jpeg?q=70
ZOTAC NVIDIA GeForce GT 1030 2 GB DDR5,4.4,365,₹8989,https://rukminim1.flixcart.com/image/612/612/ji6b2q80/graphics-card/d/t/p/zotac-geoforce-gt-1030-2gb-64-bit-ddr5-original-imaf5z44asuf5pzm.jpeg?q=70
GIGABYTE AMD/ATI GV-R65XTGAMING OC-4GD 4 GB GDDR6,0,0,₹26589,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/m/d/f/gv-r65xtgaming-oc-4gd-gigabyte-original-imagc9y7mfdwjk2d.jpeg?q=70
MSI AMD/ATI Radeon RX 6600 XT MECH 2X 8G OCV1 8 GB GDDR...,3.7,3,₹50663,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/o/b/1/radeon-rx-6600-xt-mech-2x-8g-ocv1-msi-original-imagb7fnm8hjtdzf.jpeg?q=70
MSI NVIDIA GeForce GTX 1650 D6 VENTUS XS OC 4 GB GDDR6X...,0,0,₹23600,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/w/u/l/geforce-gtx-1650-d6-ventus-xs-oc-msi-original-imagb7fzbngcsggz.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3070 Ti iChill X4 8 GB GDDR6X...,0,0,₹76957,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/q/a/m/geforce-rtx-3070-ti-ichill-x4-inno3d-original-imagcbrbhrskx7rp.jpeg?q=70
GIGABYTE AMD/ATI GV-R66EAGLE-8GD 8 GB GDDR6,0,0,₹42215,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/2/j/7/gv-r66eagle-8gd-gigabyte-original-imagc9y7vmncjb5a.jpeg?q=70
ZOTAC NVIDIA RTX 3060 Twin Edge OC 12 GB GDDR6,3.3,3,₹61296,https://rukminim1.flixcart.com/image/612/612/kwtkxow0/graphics-card/v/q/a/rtx-3060-twin-edge-oc-zotac-original-imag9ez5dw7ggvju.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3090 X3 24 GB GDDR6X,0,0,₹189185,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/p/4/d/geforce-rtx-3090-x3-inno3d-original-imagcbrcafyfuzng.jpeg?q=70
Colorful NVIDIA Battle AX 6 GB GDDR6,0,0,₹38499,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/i/q/o/battle-ax-colorful-original-imagedpffqkynfdv.jpeg?q=70
ZOTAC NVIDIA RTX 3080 Ti AMP Holo 12 GB GDDR6X,0,0,₹170000,https://rukminim1.flixcart.com/image/612/612/kwpam4w0/graphics-card/r/6/x/rtx-3080-ti-amp-holo-zotac-original-imag9bgzrsr6pnxe.jpeg?q=70
GIGABYTE NVIDIA NVIDIA GeForce GT 730 2 GB DDR3,0,0,₹7999,https://rukminim1.flixcart.com/image/612/612/kvr01ow0/graphics-card/8/v/0/nvidia-geforce-gt-730-2-gb-ddr3-graphics-card-gigabyte-original-imag8kp4bwfmpsvh.jpeg?q=70
MSI AMD/ATI Radeon RX 6600 ARMOR 8G 8 GB GDDR6,5,3,₹41621,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/j/g/g/radeon-rx-6600-armor-8g-msi-original-imagb7fzzzpgwjav.jpeg?q=70
MSI NVIDIA GeForce GTX 1650 D6 VENTUS XS OC 4 GB GDDR6X...,0,0,₹23600,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/w/u/l/geforce-gtx-1650-d6-ventus-xs-oc-msi-original-imagb7fzbngcsggz.jpeg?q=70
Colorful NVIDIA Mainstream 4 GB DDR5,0,0,₹18599,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/o/m/c/mainstream-colorful-original-imagedphztj2ssvw.jpeg?q=70
MSI NVIDIA GeForce RTX 3080 Ti GAMING X TRIO 12G 12 GB ...,0,0,₹134674,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/u/l/x/geforce-rtx-3080-ti-gaming-x-trio-12g-msi-original-imagb7fmxgbhzggf.jpeg?q=70
MSI AMD/ATI Radeon RX 6700 XT MECH 2X 12G OC 12 GB GDDR...,0,0,₹66696,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/7/7/5/radeon-rx-6700-xt-mech-2x-12g-oc-msi-original-imagb7fnpmcfjhbr.jpeg?q=70
ASUS NVIDIA DUAL-RTX3060-O12G 12 GB GDDR6,0,0,₹86999,https://rukminim1.flixcart.com/image/612/612/l1ch4sw0/graphics-card/p/r/z/dual-rtx3060-o12g-asus-original-imagcxfrmwbuytyq.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 2060 Twin X2 6 GB GDDR6,4.8,6,₹40864,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/u/v/m/geforce-rtx-2060-twin-x2-inno3d-original-imagcbrceezhrbkz.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 10 GB GDDR...,0,0,₹97478,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/s/q/p/geforce-rtx-3080-ichill-x4-lhr-inno3d-original-imagcbragw4vh6he.jpeg?q=70
ASUS NVIDIA ROG XG Mobile GC31S-022 GeForce RTX 3080 16...,0,0,₹122657,https://rukminim1.flixcart.com/image/612/612/kpvivm80/graphics-card/i/7/h/gc31s-022-asus-original-imag4yavvp9ptzgs.jpeg?q=70
MSI NVIDIA GeForce RTX 3070 Ti VENTUS 3X 8G OC 8 GB GDD...,0,0,₹77356,https://rukminim1.flixcart.com/image/612/612/l1xwqkw0/graphics-card/8/a/d/geforce-rtx-3070-ti-ventus-3x-8g-oc-msi-original-imagdefzdn56xgzn.jpeg?q=70
GIGABYTE AMD/ATI GV-R66XTEAGLE-8GD 8 GB GDDR6,0,0,₹49347,https://rukminim1.flixcart.com/image/612/612/l0h1g280/graphics-card/l/m/1/gv-r66xteagle-8gd-gigabyte-original-imagc9y7zb5cjy9x.jpeg?q=70
amd AMD/ATI Sapphire PULSE Radeon™ RX 6600 XT,0,0,₹52899,https://rukminim1.flixcart.com/image/612/612/l0vbukw0/graphics-card/s/r/c/sapphire-pulse-radeon-rx-6600-xt-graphic-card-with-8-gb-gddr6-original-imagckhghgfs5kmp.jpeg?q=70
Colorful NVIDIA GEFORCE GTX 1660 super 6 GB GDDR6,0,0,₹35490,https://rukminim1.flixcart.com/image/612/612/l1v1uvk0/graphics-card/1/1/u/geforce-gtx-colorful-original-imagdc32ba6khcck.jpeg?q=70
CONSISTENT NVIDIA Geforce GT 610 2 GB DDR3,4.7,3,₹3399,https://rukminim1.flixcart.com/image/612/612/l13whow0/graphics-card/m/w/q/ctg2101gd3-consistent-original-imagcqyptfjctvrb.jpeg?q=70
amd AMD/ATI Sapphire NITRO+ Radeon™ RX 6600 XT,0,0,₹47319,https://rukminim1.flixcart.com/image/612/612/l0vbukw0/graphics-card/t/x/2/sapphire-nitro-radeon-rx-6600-xt-graphic-card-with-8-gb-gddr6-original-imagckhjrephfzmz.jpeg?q=70
MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 1...,0,0,₹109022,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/a/5/l/geforce-rtx-3080-ventus-3x-plus-12g-oc-lhr-msi-original-imagb7fz7tvfdpju.jpeg?q=70
ZOTAC NVIDIA RTX 3060 Ti Twin Edge OC LHR 8 GB GDDR6,0,0,₹73333,https://rukminim1.flixcart.com/image/612/612/kwtkxow0/graphics-card/u/2/h/rtx-3060-ti-twin-edge-oc-lhr-zotac-original-imag9ez5qgsrzgcp.jpeg?q=70
MSI AMD/ATI Radeon RX 6800 GAMING X TRIO 16G 16 GB GDDR...,0,0,₹101326,https://rukminim1.flixcart.com/image/612/612/kkoc70w0/graphics-card/6/f/w/radeon-rx-6800-gaming-x-trio-16g-msi-geforce-original-imafzypxmbmnsfxs.jpeg?q=70
MSI NVIDIA GeForce RTX 3080 Ti VENTUS 3X 12G OC 12 GB G...,0,0,₹137239,https://rukminim1.flixcart.com/image/612/612/kql8sy80/graphics-card/t/w/q/geforce-rtx-3080-ti-ventus-3x-12g-oc-384-bit-l-pci-express-gen-4-original-imag4kjhwbhuxybe.jpeg?q=70
Inno3D NVIDIA RTX 3090 TI 24GB X3 OC 24 GB GDDR6X,0,0,₹202011,https://rukminim1.flixcart.com/image/612/612/l1l1rww0/graphics-card/v/x/4/rtx-3090-ti-24gb-x3-oc-inno3d-original-imagd498hzgbjk7g.jpeg?q=70
MSI NVIDIA GeForce RTX 3060 VENTUS 2X 12G OC 12GB GDDR6...,0,0,₹42326,https://rukminim1.flixcart.com/image/612/612/l3bx5e80/graphics-card/h/i/w/geforce-rtx-3060-ventus-2x-12g-oc-12gb-gddr6-192-bit-msi-original-imageh5fuag43pr6.jpeg?q=70
GALAX NVIDIA NVIDIA GEFORCE GT 710 2GB GDDR3,0,0,₹4498,https://rukminim1.flixcart.com/image/612/612/kvr01ow0/graphics-card/d/u/r/nvidia-geforce-gt-710-2gb-gddr3-graphics-card-black-galax-original-imag8ksghr5gmdjf.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3080 Ti X3 12 GB GDDR6X,0,0,₹115435,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/u/d/8/geforce-rtx-3080-ti-x3-inno3d-original-imagcbraxw9v7aba.jpeg?q=70
Colorful NVIDIA G-I3060TIUL WOCLHR 8 GB GDDR6,0,0,₹75900,https://rukminim1.flixcart.com/image/612/612/l1ch4sw0/graphics-card/l/g/l/g-i3060tiul-woclhr-colorful-original-imagcxcthasgdx4d.jpeg?q=70
Colorful NVIDIA GeForce GT710-2GD3-V 2 GB GDDR3,3.9,54,₹4999,https://rukminim1.flixcart.com/image/612/612/kit6hzk0-0/graphics-card/s/y/f/geforce-gt710-2gd3-v-colorful-original-imafygrqm3tggkf6.jpeg?q=70
Colorful NVIDIA RTX3060 NB DUO 12G L-V 12 GB GDDR6,0,0,₹52490,https://rukminim1.flixcart.com/image/612/612/l1ch4sw0/graphics-card/3/l/7/rtx3060-nb-duo-12g-l-v-colorful-original-imagcxchtarwhyyj.jpeg?q=70
GIGABYTE NVIDIA GV-N1030D4-2GL GeForce GT 1030 Low Prof...,0,0,₹10499,https://rukminim1.flixcart.com/image/612/612/kvr01ow0/graphics-card/s/m/q/gv-n1030d4-2gl-geforce-gt-1030-low-profile-d4-2g-computer-original-imag8kpk7b9jcvgc.jpeg?q=70
Microware NVIDIA New PCIE Riser Card VER011 011 Pro GPU...,0,0,₹719,https://rukminim1.flixcart.com/image/612/612/kz4gh3k0/graphics-card/n/x/m/riser-card-v011-pro-pci-e-1x-to-16x-riser-card-for-bit-coin-tobo-original-imagb7gx2y7hywzm.jpeg?q=70
AARVEX NVIDIA GT610-2GB DDR3 2 GB DDR3,0,0,₹4399,https://rukminim1.flixcart.com/image/612/612/kuyf8nk0/graphics-card/j/d/h/gt610-2gb-ddr3-aarvex-original-imag7yqzkuvaszmb.jpeg?q=70
MSI NVIDIA RTX 3070 GAMING 8 GB GDDR6,0,0,₹80214,https://rukminim1.flixcart.com/image/612/612/kqpj4i80/graphics-card/s/w/y/geforce-rtx-3070-gaming-z-trio-256-bit-l-pci-express-gen-4-8gb-original-imag4nyxgbjn2jyt.jpeg?q=70
MSI NVIDIA GeForce RTX 3090 GAMING X TRIO 24G 24 GB GDD...,0,0,₹187261,https://rukminim1.flixcart.com/image/612/612/l0pm3680/graphics-card/j/g/5/geforce-rtx-3090-gaming-x-trio-24g-msi-original-imagcfsjbdamqqye.jpeg?q=70
Colorful NVIDIA iGame Ultra 8 GB GDDR6,0,0,₹66699,https://rukminim1.flixcart.com/image/612/612/l37mtu80/graphics-card/t/e/g/igame-ultra-colorful-original-imagedpfuhtqzgww.jpeg?q=70
Inno3D NVIDIA GEFORCE RTX 3080 iChill X4 LHR 12 GB GDDR...,0,0,₹125054,https://rukminim1.flixcart.com/image/612/612/l0lbrm80/graphics-card/s/q/p/geforce-rtx-3080-ichill-x4-lhr-inno3d-original-imagcbragw4vh6he.jpeg?q=70
